 Full    lambda(A)   nu' nu"  Trans    
  193   6477.902   6   1  R2f(0.5) 
  194   6477.919   6   1  R2e(0.5) 
  195   6497.471   6   1  Q2f(0.5) 
  196   6497.582   6   1  Q2e(0.5) 
  197   6498.711   6   1  Q1f(1.5) 
  198   6498.746   6   1  Q1e(1.5) 
  199   6504.931   6   1  Q1f(2.5) 

  200   6505.060   6   1  Q1e(2.5) 
  201   6513.845   6   1  Q1f(3.5) 
  202   6514.137   6   1  Q1e(3.5) 
  203   6522.396   6   1  P2e(1.5) 
  204   6522.455   6   1  P2f(1.5) 
  205   6533.011   6   1  P1e(2.5) 
  206   6533.077   6   1  P1f(2.5) 
  207   6544.006   6   1  P2e(2.5) 
  208   6544.038   6   1  P2f(2.5) 
  209   6553.553   6   1  P1e(3.5) 
  210   6553.681   6   1  P1f(3.5) 
  211   6568.772   6   1  P2f(3.5) 
  212   6568.786   6   1  P2e(3.5) 
  213   6577.183   6   1  P1e(4.5) 
  214   6577.386   6   1  P1f(4.5) 
  215   6596.608   6   1  P2f(4.5) 
  216   6596.679   6   1  P2e(4.5) 
  217   6603.990   6   1  P1e(5.5) 
  218   6604.279   6   1  P1f(5.5) 
  219   6627.555   6   1  P2f(5.5) 
  220   6627.679   6   1  P2e(5.5) 
  221   6634.038   6   1  P1e(6.5) 
  222   6634.421   6   1  P1f(6.5) 
  223   6634.421   6   1  P1f(6.5) 
  224   6661.664   6   1  P2f(6.5) 
  225   6661.878   6   1  P2e(6.5) 
  226   6667.384   6   1  P1e(7.5) 
  227   6667.869   6   1  P1f(7.5) 
  228   6699.008   6   1  P2f(7.5) 
  229   6699.304   6   1  P2e(7.5) 
  230   6704.087   6   1  P1e(8.5) 
  231   6704.683   6   1  P1f(8.5) 
  232   6744.216   6   1  P1e(9.5) 
  233   6744.933   6   1  P1f(9.5) 
  234   6787.849   6   1  P1e(10.5)
  235   6788.697   6   1  P1f(10.5)
  236   6827.446   7   2  R1f(3.5) 
  237   6827.472   7   2  R1e(3.5) 
  238   6828.466   7   2  R1f(4.5) 
  239   6828.473   7   2  R1e(4.5) 
  240   6829.474   7   2  R1f(2.5) 
  241   6829.507   7   2  R1e(2.5) 
  242   6829.536   7   2  R2e(3.5) 
  243   6829.593   7   2  R2f(3.5) 
  244   6829.900   7   2  R2e(2.5) 
  245   6829.944   7   2  R2f(2.5) 
  246   6832.621   7   2  R1e(5.5) 
  247   6832.648   7   2  R1f(5.5) 
  248   6832.803   7   2  R2e(4.5) 
  249   6832.860   7   2  R2f(4.5) 
  250   6833.999   7   2  R2e(1.5) 
  251   6834.018   7   2  R2f(1.5) 
  252   6834.420   7   2  R1f(1.5) 
  253   6834.447   7   2  R1e(1.5) 
  254   6839.635   7   2  R2e(5.5) 
  255   6839.681   7   2  R2f(5.5) 
  256   6840.011   7   2  R1e(6.5) 
  257   6840.082   7   2  R1f(6.5) 
  258   6841.937   7   2  R2f(0.5) 
  259   6841.953   7   2  R2e(0.5) 
  260   6850.005   7   2  R2e(6.5) 
  261   6850.028   7   2  R2f(6.5) 
  262   6850.722   7   2  R1e(7.5) 
  263   6850.851   7   2  R1f(7.5) 
  264   6862.622   7   2  Q2f(0.5) 
  265   6862.738   7   2  Q2e(0.5) 
  266   6863.937   7   2  Q1f(1.5) 
  267   6863.973   7   2  Q1e(1.5) 
  268   6868.294   7   2  Q2f(1.5) 
  269   6868.490   7   2  Q2e(1.5) 
  270   6870.929   7   2  Q1f(2.5) 
  271   6871.060   7   2  Q1e(2.5) 
  272   6880.936   7   2  Q1f(3.5) 
  273   6881.234   7   2  Q1e(3.5) 
  274   6889.255   7   2  P2e(1.5) 
  275   6889.321   7   2  P2f(1.5) 
  276   6894.088   7   2  Q1f(4.5) 
  277   6894.628   7   2  Q1e(4.5) 
  278   6900.799   7   2  P1e(2.5) 
  279   6900.867   7   2  P1f(2.5) 
  280   6912.603   7   2  P2e(2.5) 
  281   6912.642   7   2  P2f(2.5) 
  282   6923.152   7   2  P1e(3.5) 
  283   6923.287   7   2  P1f(3.5) 
  284   6939.518   7   2  P2f(3.5) 
  285   6939.525   7   2  P2e(3.5) 
  286   6948.936   7   2  P1e(4.5) 
  287   6949.153   7   2  P1f(4.5) 
  288   6969.896   7   2  P2f(4.5) 
  289   6969.963   7   2  P2e(4.5) 
  290   6978.258   7   2  P1e(5.5) 
  291   6978.569   7   2  P1f(5.5) 
  292   7003.788   7   2  P2f(5.5) 
  293   7003.928   7   2  P2e(5.5) 
  294   7011.202   7   2  P1e(6.5) 
  295   7011.618   7   2  P1f(6.5) 
  296   7041.251   7   2  P2f(6.5) 
  297   7041.473   7   2  P2e(6.5) 
  298   7047.846   7   2  P1e(7.5) 
  299   7048.376   7   2  P1f(7.5) 
  300   7082.370   7   2  P2f(7.5) 
  301   7082.683   7   2  P2e(7.5) 
  302   7088.266   7   2  P1e(8.5) 
  303   7088.922   7   2  P1f(8.5) 
  304   7127.248   7   2  P2f(8.5) 
  305   7127.661   7   2  P2e(8.5) 
  306   7132.553   7   2  P1e(9.5) 
  307   7133.346   7   2  P1f(9.5) 
  308   7176.005   7   2  P2f(9.5) 
  309   7176.528   7   2  P2e(9.5) 
  310   7180.808   7   2  P1e(10.5)
  311   7181.750   7   2  P1f(10.5)
  312   7228.773   7   2  P2f(10.5)
  313   7229.417   7   2  P2e(10.5)
  314   7233.149   7   2  P1e(11.5)
  315   7233.252   7   2  P1f(11.5)
  316   7238.771   8   3  R1f(3.5) 
  317   7238.787   8   3  R1e(3.5) 
  318   7240.166   8   3  R1f(2.5) 
  319   7240.194   8   3  R1e(2.5) 
  320   7240.843   8   3  R1e(4.5) 
  321   7240.854   8   3  R1f(4.5) 
  322   7241.378   8   3  R2e(2.5) 
  323   7241.433   8   3  R2f(2.5) 
  324   7241.900   8   3  R2e(3.5) 
  325   7241.969   8   3  R2f(3.5) 
  326   7244.894   8   3  R1f(1.5) 
  327   7244.920   8   3  R1e(1.5) 
  328   7245.083   8   3  R2e(1.5) 
  329   7245.110   8   3  R2f(1.5) 
  330   7246.488   8   3  R1e(5.5) 
  331   7246.541   8   3  R1f(5.5) 
  332   7246.548   8   3  R2e(4.5) 
  333   7246.615   8   3  R2f(4.5) 
  334   7253.122   8   3  R2f(0.5) 
  335   7253.132   8   3  R2e(0.5) 
  336   7255.261   8   3  R2e(5.5) 
  337   7255.312   8   3  R2f(5.5) 
  338   7255.835   8   3  R1e(6.5) 
  339   7255.945   8   3  R1f(6.5) 
  340   7275.048   8   3  Q2f(0.5) 
  341   7275.168   8   3  Q2e(0.5) 
  342   7276.387   8   3  Q1f(1.5) 
  343   7276.423   8   3  Q1e(1.5) 
  344   7281.460   8   3  Q2f(1.5) 
  345   7281.664   8   3  Q2e(1.5) 
  346   7284.372   8   3  Q1f(2.5) 
  347   7284.506   8   3  Q1e(2.5) 
  348   7285.698   7   2  P2f(11.5)
  349   7286.474   7   2  P2e(11.5)
  350   7289.710   7   2  P1e(12.5)
  351   7290.986   7   2  P1f(12.5)
  352   7295.786   8   3  Q1f(3.5) 
  353   7296.092   8   3  Q1e(3.5) 
  354   7303.679   8   3  P2e(1.5) 
  355   7303.753   8   3  P2f(1.5) 
  356   7310.776   8   3  Q1f(4.5) 
  357   7311.331   8   3  Q1e(4.5) 
  358   7316.246   8   3  P1e(2.5) 
  359   7316.318   8   3  P1f(2.5) 
  360   7329.122   8   3  P2e(2.5) 
  361   7329.173   8   3  P2f(2.5) 
  362   7340.812   8   3  P1e(3.5) 
  363   7340.957   8   3  P1f(3.5) 
  364   7346.944   7   2  P2f(12.5)
  365   7347.861   7   2  P2e(12.5)
  366   7350.640   7   2  P1e(13.5)
  367   7352.104   7   2  P1f(13.5)
  368   7358.657   8   3  P2e(3.5) 
  369   7358.662   8   3  P2f(3.5) 
  370   7369.248   8   3  P1e(4.5) 
  371   7369.483   8   3  P1f(4.5) 
  372   7392.169   8   3  P2f(4.5) 
  373   7392.228   8   3  P2e(4.5) 
  374   7401.688   8   3  P1e(5.5) 
  375   7402.029   8   3  P1f(5.5) 
  376   7412.690   7   2  P2f(13.5)
  377   7413.759   7   2  P2e(13.5)
  378   7416.112   7   2  P1e(14.5)
  379   7417.776   7   2  P1f(14.5)
  380   7429.712   8   3  P2f(5.5) 
  381   7429.849   8   3  P2e(5.5) 
  382   7438.243   8   3  P1e(6.5) 
  383   7438.702   8   3  P1f(6.5) 
  384   7461.206   4   0  R1f(5.5) 
  385   7461.271   4   0  R1e(5.5) 
  386   7462.385   4   0  R1f(4.5) 
  387   7462.464   4   0  R1e(4.5) 
  388   7464.830   4   0  R2e(3.5) 
  389   7464.906   4   0  R2f(3.5) 
  390   7466.569   4   0  R1f(3.5) 
  391   7466.652   4   0  R1e(3.5) 
  392   7470.682   4   0  R2e(2.5) 
  393   7470.732   4   0  R2f(2.5) 
  394   7471.359   8   3  P2f(6.5) 
  395   7471.586   8   3  P2e(6.5) 
  396   7473.642   4   0  R1f(2.5) 
  397   7473.714   4   0  R1e(2.5) 
  398   7479.015   8   3  P1e(7.5) 
  399   7479.605   8   3  P1f(7.5) 

  400   7480.247   4   0  R2e(1.5) 
  401   7480.258   4   0  R2f(1.5) 
  402   7483.451   4   0  R1f(1.5) 
  403   7483.501   4   0  R1e(1.5) 
  404   7493.653   4   0  R2f(0.5) 
  405   7493.687   4   0  R2e(0.5) 
  406   7517.212   8   3  P2f(7.5) 
  407   7517.540   8   3  P2e(7.5) 
  408   7522.579   4   0  Q2f(0.5) 
  409   7522.740   4   0  Q2e(0.5) 
  410   7523.967   4   0  Q1f(1.5) 
  411   7524.021   4   0  Q1e(1.5) 
  412   7524.111   8   3  P1e(8.5) 
  413   7524.844   8   3  P1f(8.5) 
  414   7530.615   4   0  Q1f(2.5) 
  415   7530.811   4   0  Q1e(2.5) 
  416   7540.160   4   0  Q1f(3.5) 
  417   7540.602   4   0  Q1e(3.5) 
  418   7552.729   4   0  Q1f(4.5) 
  419   7553.521   4   0  Q1e(4.5) 
  420   7557.454   4   0  P2e(1.5) 
  421   7557.530   4   0  P2f(1.5) 
  422   7567.402   8   3  P2f(8.5) 
  423   7567.842   8   3  P2e(8.5) 
  424   7571.699   4   0  P1e(2.5) 
  425   7571.792   4   0  P1f(2.5) 
  426   7573.651   8   3  P1e(9.5) 
  427   7574.542   8   3  P1f(9.5) 
  428   7586.077   4   0  P2e(2.5) 
  429   7586.109   4   0  P2f(2.5) 
  430   7598.356   4   0  P1e(3.5) 
  431   7598.530   4   0  P1f(3.5) 
  432   7618.034   4   0  P2f(3.5) 
  433   7618.067   4   0  P2e(3.5) 
  434   7622.077   8   3  P2f(9.5) 
  435   7622.642   8   3  P2e(9.5) 
  436   7627.771   8   3  P1e(10.5)
  437   7628.489   4   0  P1e(4.5) 
  438   7628.489   4   0  P1e(4.5) 
  439   7628.759   4   0  P1f(4.5) 
  440   7628.759   4   0  P1f(4.5) 
  441   7628.834   8   3  P1f(10.5)
  442   7662.175   4   0  P1e(5.5) 
  443   7662.549   4   0  P1f(5.5) 
  444   7681.410   8   3  P2f(10.5)
  445   7682.112   8   3  P2e(10.5)
  446   7686.627   8   3  P1e(11.5)
  447   7687.878   8   3  P1f(11.5)
  448   7691.813   4   0  P2f(5.5) 
  449   7692.009   4   0  P2e(5.5) 
  450   7699.461   4   0  P1e(6.5) 
  451   7699.947   4   0  P1f(6.5) 
  452   7712.206   9   4  R1f(3.5) 
  453   7712.209   9   4  R1e(3.5) 
  454   7712.605   9   4  R1f(2.5) 
  455   7712.626   9   4  R1e(2.5) 
  456   7715.011   9   4  R2e(2.5) 
  457   7715.086   9   4  R2f(2.5) 
  458   7715.824   9   4  R1e(4.5) 
  459   7715.859   9   4  R1f(4.5) 
  460   7716.874   9   4  R2e(3.5) 
  461   7716.892   9   4  R1f(1.5) 
  462   7716.915   9   4  R1e(1.5) 
  463   7716.964   9   4  R2f(3.5) 
  464   7718.028   9   4  R2e(1.5) 
  465   7718.072   9   4  R2f(1.5) 
  466   7723.525   9   4  R2e(4.5) 
  467   7723.611   9   4  R2f(4.5) 
  468   7723.625   9   4  R1e(5.5) 
  469   7723.715   9   4  R1f(5.5) 
  470   7726.040   9   4  R2e(0.5) 
  471   7726.041   9   4  R2f(0.5) 
  472   7733.773   4   0  P2f(6.5) 
  473   7734.063   4   0  P2e(6.5) 
  474   7734.913   9   4  R2e(5.5) 
  475   7734.978   9   4  R2f(5.5) 
  476   7735.747   9   4  R1e(6.5) 
  477   7735.910   9   4  R1f(6.5) 
  478   7749.364   9   4  Q2f(0.5) 
  479   7749.486   9   4  Q2e(0.5) 
  480   7750.622   9   4  Q1f(1.5) 
  481   7750.658   9   4  Q1e(1.5) 
  482   7756.756   9   4  Q2f(1.5) 
  483   7756.964   9   4  Q2e(1.5) 
  484   7759.929   9   4  Q1f(2.5) 
  485   7760.063   9   4  Q1e(2.5) 
  486   7773.216   9   4  Q1f(3.5) 
  487   7773.525   9   4  Q1e(3.5) 
  488   7780.388   9   4  P2e(1.5) 
  489   7780.475   9   4  P2f(1.5) 
  490   7790.654   9   4  Q1f(4.5) 
  491   7791.218   9   4  Q1e(4.5) 
  492   7794.074   9   4  P1e(2.5) 
  493   7794.149   9   4  P1f(2.5) 
  494   7808.433   9   4  P2e(2.5) 
  495   7808.501   9   4  P2f(2.5) 
  496   7821.426   9   4  P1e(3.5) 
  497   7821.580   9   4  P1f(3.5) 
  498   7841.254   9   4  P2e(3.5) 
  499   7841.278   9   4  P2f(3.5) 
  500   7849.120   5   1  R1f(5.5) 
  501   7849.173   5   1  R1e(5.5) 
  502   7849.689   5   1  R1f(4.5) 
  503   7849.761   5   1  R1e(4.5) 
  504   7850.479   5   1  R2e(4.5) 
  505   7850.573   5   1  R2f(4.5) 
  506   7852.268   5   1  R2e(3.5) 
  507   7852.349   5   1  R2f(3.5) 
  508   7853.232   9   4  P1e(4.5) 
  509   7853.488   9   4  P1f(4.5) 
  510   7853.565   5   1  R1f(3.5) 
  511   7853.644   5   1  R1e(3.5) 
  512   7857.967   5   1  R2e(2.5) 
  513   7858.021   5   1  R2f(2.5) 
  514   7860.623   5   1  R1f(2.5) 
  515   7860.693   5   1  R1e(2.5) 
  516   7867.723   5   1  R2e(1.5) 
  517   7867.737   5   1  R2f(1.5) 
  518   7870.706   5   1  R1f(1.5) 
  519   7870.755   5   1  R1e(1.5) 
  520   7878.762   9   4  P2f(4.5) 
  521   7878.803   9   4  P2e(4.5) 
  522   7881.666   5   1  R2f(0.5) 
  523   7881.699   5   1  R2e(0.5) 
  524   7889.664   9   4  P1e(5.5) 
  525   7889.664   9   4  P1e(5.5) 
  526   7890.038   9   4  P1f(5.5) 
  527   7890.038   9   4  P1f(5.5) 
  528   7912.167   5   1  Q2f(0.5) 
  529   7912.336   5   1  Q2e(0.5) 
  530   7913.681   5   1  Q1f(1.5) 
  531   7913.735   5   1  Q1e(1.5) 
  532   7918.207   5   1  Q2f(1.5) 
  533   7918.491   5   1  Q2e(1.5) 
  534   7920.982   9   4  P2f(5.5) 
  535   7921.020   5   1  Q1f(2.5) 
  536   7921.106   9   4  P2e(5.5) 
  537   7921.219   5   1  Q1e(2.5) 
  538   7930.868   9   4  P1e(6.5) 
  539   7931.379   9   4  P1f(6.5) 
  540   7931.542   5   1  Q1f(3.5) 
  541   7931.994   5   1  Q1e(3.5) 
  542   7945.385   5   1  Q1f(4.5) 
  543   7946.198   5   1  Q1e(4.5) 
  544   7949.163   5   1  P2e(1.5) 
  545   7949.245   5   1  P2f(1.5) 
  546   7964.603   5   1  P1e(2.5) 
  547   7964.698   5   1  P1f(2.5) 
  548   7968.024   9   4  P2f(6.5) 
  549   7968.249   9   4  P2e(6.5) 
  550   7976.986   9   4  P1e(7.5) 
  551   7977.650   9   4  P1f(7.5) 
  552   7979.749   5   1  P2e(2.5) 
  553   7979.788   5   1  P2f(2.5) 
  554   7993.241   5   1  P1e(3.5) 
  555   7993.424   5   1  P1f(3.5) 
  556   8014.046   5   1  P2f(3.5) 
  557   8014.072   5   1  P2e(3.5) 
  558   8020.024   9   4  P2f(7.5) 
  559   8020.361   9   4  P2e(7.5) 
  560   8025.668   5   1  P1e(4.5) 
  561   8025.952   5   1  P1f(4.5) 
  562   8028.169   9   4  P1e(8.5) 
  563   8029.001   9   4  P1f(8.5) 
  564   8051.966   5   1  P2f(4.5) 
  565   8052.074   5   1  P2e(4.5) 
  566   8061.979   5   1  P1e(5.5) 
  567   8062.377   5   1  P1f(5.5) 
  568   8077.147   9   4  P2f(8.5) 
  569   8077.613   9   4  P2e(8.5) 
  570   8084.582   9   4  P1e(9.5) 
  571   8085.600   9   4  P1f(9.5) 
  572   8093.579   5   1  P2f(5.5) 
  573   8093.780   5   1  P2e(5.5) 
  574   8102.239   5   1  P1e(6.5) 
  575   8103.761   5   1  P1f(6.5) 
  576   8138.962   5   1  P2f(6.5) 
  577   8139.264   5   1  P2e(6.5) 
  578   8146.508   5   1  P1e(7.5) 
  579   8147.162   5   1  P1f(7.5) 
  580   8188.216   5   1  P2f(7.5) 
  581   8188.630   5   1  P2e(7.5) 
  582   8194.849   5   1  P1e(8.5) 
